Name,Age,Class,Hometown,Boarded,Disembarked
"Brand, Mr. Karl Birger",29,First,"Falköping, Västergötland, Sweden",Southampton,Cherbourg
"Browne, Father Francis Patrick Mary",31,First,"Dublin, Ireland",Southampton,Queenstown
"Collis, Mr.",–,First,–,Southampton,Cherbourg
"Davies, Mr. H. V.",–,Second,–,Southampton,Cherbourg
"Davies, Miss K.",–,Second,–,Southampton,Cherbourg
"De Grasse, Mr. J.",–,First,–,Southampton,Cherbourg
"Dyer-Edwardes, Mr. Thomas",65,First,"Kensington, England",Southampton,Cherbourg[93]
"Dyer-Edwardes, Mrs. Clementina Georgina Lucy",53,First,"Kensington, England",Southampton,Cherbourg
"Evans, Miss",–,Second,–,Southampton,Cherbourg
"Fletcher, Miss N.",–,First,–,Southampton,Cherbourg
"Forman, Mr. J.",–,First,–,Southampton,Cherbourg
"Forman, Mrs.",–,First,–,Southampton,Cherbourg
"Lenox-Conyngham, Miss Alice Katherine Harriet",39,First,–,Southampton,Cherbourg
"Lenox-Conyngham, Mrs. Barbara Josephine (née Turton)",48,First,–,Southampton,Cherbourg
"Lenox-Conyngham, Miss Eileen Mary",11,First,–,Southampton,Cherbourg
"Lenox-Conyngham, Master Denis Hugh",10,First,–,Southampton,Cherbourg
"May, Mr. Richard W.",–,First,–,Southampton,Queenstown
"May, Mr. Stanley",–,First,–,Southampton,Queenstown
"Mullen, Mr.",–,Second,–,Southampton,Cherbourg
"Nichols, Mr. E.",–,First,–,Southampton,Queenstown
"Noel, Major Gerard Thomas",–,First,–,Southampton,Cherbourg
"Noel, Master William Henry Middleton",13,First,–,Southampton,Cherbourg
"Odell, Miss Kate",–,First,–,Southampton,Queenstown
"Odell, Mrs. Lily May",–,First,–,Southampton,Queenstown
"Odell, Master Jack Dudley",11,First,–,Southampton,Queenstown
"Osborne, Miss D.",–,Second,–,Southampton,Cherbourg
"Remesch, Miss",–,Second,–,Southampton,Cherbourg
"Stevens, Mr. G.",–,First,–,Southampton,Cherbourg
"Tovey, Miss",–,Second,–,Southampton,Cherbourg
"Wotton, Mr. Henry Swaffin",54,First,–,Southampton,Cherbourg
